Created date,Case Type,Subtype,Reason,Customer reply count,Source,Ticket ID,Agent name,Subject
2020-08-23 9:51:40 AM,Shipping / Delivery,Shipping Details,Delivery Window,1,email,8491,M. V.,CZU Complex Fires
2020-08-23 10:42:59 AM,Technical Issues,Network,WiFi Antenna,7,email,8492,A. S. ,Classes won't start
2020-08-23 11:56:39 AM,Technical Issues,Network,WiFi Antenna,5,chat,8495,M. V.,Tempo Support
2020-08-23 12:08:02 PM,Cancellations / Returns,Cancel Request,Canceled: Refused to State,0,email,8496,L. R.,Oder cancellation
2020-08-23 12:11:35 PM,Technical Issues,Network,Buffering,4,phone,8497,J. M.,VIP Order
2020-08-23 3:15:15 PM,Cancellations / Returns,Cancel Request,Canceled: Refused to State,1,email,8503,L. R.,Cancel order
2020-08-23 4:09:19 PM,Shipping / Delivery,Shipping Details,Tracking Information,1,email,8506,M. V.,Order #266af768
2020-08-23 5:13:11 PM,Shipping / Delivery,Shipping Details,Delivery Overview,2,email,8510,N. D.,Lead Time
2020-08-23 8:41:37 PM,Cancellations / Returns,Cancel Request,Canceled: Refused to State,1,email,8517,L. R.,Re: Your receipt from Tempo
2020-08-24 6:49:15 AM,Cancellations / Returns,Cancel Request,Canceled: Refused to State,1,email,8528,L. R.,Order number 8149defa
2020-08-24 8:08:25 AM,Shipping / Delivery,Delivery Issues,Missed Delivery,2,email,8536,D. W.,order status
2020-08-24 9:14:05 AM,Shipping / Delivery,Delivery Issues,WGS Fail,9,email,8544,A. W. ,Re: Your receipt from Tempo
2020-08-24 9:49:34 AM,Shipping / Delivery,Shipping Details,Delivery Window,1,email,8550,D. W.,Order Number 4da27ab0
2020-08-24 10:09:54 AM,Shipping / Delivery,Change Request,Color Change,0,chat,8552,L. R.,Conversation with User
2020-08-24 12:21:55 PM,Shipping / Delivery,Change Request,Address Change,1,email,8561,L. R.,Order
2020-08-24 1:23:07 PM,Cancellations / Returns,Cancel Request,Canceled: Changes to Living Situation,0,email,8565,L. R.,Cancel Order
2020-08-24 4:01:13 PM,Cancellations / Returns,Cancel Request,Canceled: Refused to State,0,email,8572,L. R.,Please cancel order
2020-08-24 4:08:00 PM,Cancellations / Returns,Cancel Request,Canceled: Refused to State,1,email,8573,L. R.,Re: Your ‪Tempo‬ receipt [#1656-3623]
2020-08-24 4:33:33 PM,Cancellations / Returns,Cancel Request,Canceled: Delivery Expectations,0,email,8575,L. R.,Way too! Long to wait!
2020-08-24 5:18:47 PM,Technical Issues,Network,WiFi Antenna,0,chat,8579,B. C.,Conversation with User
2020-08-24 5:52:54 PM,Shipping / Delivery,Delivery Issues,WGS Fail,6,email,8581,J. M.,XPO setup
2020-08-24 6:34:16 PM,Cancellations / Returns,Return Request,Return Prevented: Other,2,email,8585,L. R.,Conversation with User
2020-08-24 6:51:45 PM,Cancellations / Returns,Return Request,Return Requested: 30 Day - No Reason,0,email,8586,L. R.,"Re: Poor XPO experience, refund requested"
2020-08-24 10:30:46 PM,Shipping / Delivery,Shipping Details,Delivery Window,1,email,8594,A. W. ,Delivery status
2020-08-25 7:04:28 AM,Cancellations / Returns,Cancel Request,Canceled: Refused to State,0,email,8607,L. R.,Cancel
2020-08-25 8:10:49 AM,Shipping / Delivery,Shipping Details,Delivery Window,0,email,8614,D. W.,Re: Your receipt from Tempo
2020-08-25 8:12:47 AM,Shipping / Delivery,Shipping Details,Delivery Window,4,email,8615,B. C.,Re: Your receipt from Tempo
2020-08-25 8:47:57 AM,Technical Issues,Network,Buffering,2,email,8616,B. C.,Tempo
2020-08-25 9:00:47 AM,Technical Issues,Network,Buffering,22,email,8618,B. C.,Machine keeps buffering
2020-08-25 9:34:21 AM,Cancellations / Returns,Cancel Request,Canceled: Taking Too Long,3,email,8620,L. R.,Cancel
2020-08-25 11:01:01 AM,Shipping / Delivery,Shipping Details,Expedited Delivery,1,email,8629,A. W. ,Delivery estimate
2020-08-25 12:43:43 PM,Shipping / Delivery,Delivery Issues,Late Delivery,1,email,8637,L. R.,Mary Leah Sutton - Receipt #1255-6931
2020-08-25 1:18:02 PM,Technical Issues,BIOS,Incorrect Firmware,9,phone,8639,J. M.,Problems Updating Tempo
2020-08-25 1:27:42 PM,Shipping / Delivery,Shipping Details,Delivery Window,1,email,8641,A. W. ,Update on Order Number 307e5858
2020-08-25 1:49:05 PM,Technical Issues,Network,WiFi Antenna,1,chat,8642,M. V.,Wifi Issue
2020-08-25 2:00:51 PM,Technical Issues,Network,Buffering,1,chat,8643,M. V.,Buffering Issues
2020-08-25 2:33:54 PM,Technical Issues,Heart Rate Monitor,Charging,0,chat,8644,M. V.,HRM Issue
2020-08-25 2:42:00 PM,Technical Issues,Network,WiFi Antenna,0,chat,8646,J. M.,Wifi Issue
2020-08-25 3:10:13 PM,Shipping / Delivery,Delivery Issues,WGS Fail,1,chat,8648,L. R.,Conversation with User
2020-08-25 7:28:11 PM,Shipping / Delivery,Shipping Details,Delivery Overview,2,email,8658,L. R.,Delivery
2020-08-25 7:53:17 PM,Shipping / Delivery,Delivery Issues,Missed Delivery,6,email,8659,N. D.,Delivery delays
2020-08-26 1:18:28 AM,Cancellations / Returns,Cancel Request,Canceled: Delivery Expectations,0,email,8666,L. R.,Cancel my order
2020-08-26 3:44:22 AM,Technical Issues,Heart Rate Monitor,Failed to connect,1,email,8668,N. D.,Heart rate monitor
2020-08-26 6:04:53 AM,Account / Billing,Order Details,Billing Issues,1,email,8671,M. V.,Need to update address on my order
2020-08-26 7:03:52 AM,Shipping / Delivery,Delivery Issues,Late Delivery,7,email,8675,D. W.,order number 70dcbde3
2020-08-26 7:25:16 AM,Technical Issues,Heart Rate Monitor,Failed to connect,1,chat,8676,N. D.,Thank you for contacting Tempo!
2020-08-26 9:21:13 AM,Technical Issues,Network,WiFi Antenna,2,phone,8688,B. C.,Tempo Follow Up
2020-08-26 9:33:13 AM,Shipping / Delivery,Shipping Details,Tracking Information,3,chat,8689,J. M.,XPO Order Information
2020-08-26 9:44:37 AM,Technical Issues,Network,Network Selection Loop,5,email,8690,J. M.,Problems with turning on tempo.
2020-08-26 9:58:13 AM,General Inquiry,Mobile App,Features,3,email,8692,A. W. ,Tempo Delivery
2020-08-26 10:03:02 AM,Cancellations / Returns,Cancel Request,Canceled: Refused to State,2,email,8694,L. R.,Cancel
2020-08-26 10:43:36 AM,Cancellations / Returns,Cancel Request,Canceled: Refused to State,1,email,8698,L. R.,Order Cancellation Request
2020-08-26 12:05:07 PM,Shipping / Delivery,Delivery Issues,Other Delivery Issue,9,chat,8706,L. R.,Conversation with User
2020-08-26 12:11:01 PM,Technical Issues,Sound,White noise,4,email,8707,B. C.,Sari Cohen - Tempo Noise
2020-08-26 12:47:51 PM,Fitness / Content,Class Requests,Filters,0,chat,8710,T. H.,Conversation with User
2020-08-26 12:54:59 PM,Cancellations / Returns,Return Request,Return Requested: Changes to Living Situation,2,email,8713,M. V.,Follow up
2020-08-26 1:14:45 PM,Cancellations / Returns,Cancel Request,Canceled: Refused to State,0,email,8714,L. R.,Order Number 09924959
2020-08-26 1:22:34 PM,Shipping / Delivery,Shipping Details,Delivery Window,2,email,8715,A. W. ,Delivery date
2020-08-26 2:08:49 PM,Technical Issues,Heart Rate Monitor,Failed to connect,1,email,8723,N. D.,Heart Rate Monitor Issues
2020-08-26 2:50:45 PM,Cancellations / Returns,Cancel Request,Canceled: Taking Too Long,0,email,8724,L. R.,Fwd: Your receipt from Tempo
2020-08-26 2:54:16 PM,Partnership / Marketing,Opportunities,Partnerships,0,email,8725,L. R.,Shift in Retail Strategy
2020-08-26 3:36:23 PM,Shipping / Delivery,Shipping Details,Delivery Window,1,email,8730,A. W. ,Delivery ETA
2020-08-26 3:56:37 PM,Technical Issues,Network,WiFi Antenna,0,chat,8732,M. V.,Wifi Issue
2020-08-26 4:25:34 PM,Shipping / Delivery,Shipping Details,Delivery Window,0,email,8733,A. W. ,Order c3956ded
2020-08-26 4:48:51 PM,Account / Billing,Promotions / Discounts,Military,0,email,8734,N. D.,Question
2020-08-26 5:03:16 PM,Technical Issues,Heart Rate Monitor,Failed to connect,1,email,8735,N. D.,Heart rate monitor not working
2020-08-26 5:13:16 PM,Technical Issues,Network,WiFi Antenna,3,chat,8736,J. M.,buffering issue with Sari Cohen
2020-08-26 5:17:38 PM,General Inquiry,Accessories,Benches,0,email,8737,N. D.,Question
2020-08-26 5:26:36 PM,Fitness / Content,Live Classes,Availability,0,email,8738,A. W. ,live classes
2020-08-26 6:05:35 PM,Technical Issues,Network,WiFi Antenna,2,phone,8739,J. M.,Issues Starting Tempo
2020-08-26 6:09:16 PM,Shipping / Delivery,Shipping Details,Delivery Window,3,email,8740,N. D.,Tempo Order - Response Needed
2020-08-26 6:14:00 PM,Shipping / Delivery,Shipping Details,Delivery Window,1,email,8742,A. W. ,Fwd: Your ‪Tempo‬ receipt [#1595-9591]
2020-08-26 6:15:15 PM,Shipping / Delivery,Shipping Details,Delivery Window,0,email,8743,A. W. ,Fwd: Your receipt from Tempo
2020-08-26 7:04:42 PM,Technical Issues,Screen,Failed to power on,0,chat,8744,A. W. ,Conversation with User
2020-08-26 7:41:36 PM,Shipping / Delivery,Shipping Details,Delivery Window,2,email,8745,A. W. ,
2020-08-26 7:50:45 PM,Sales,Promotions / Discounts,Military,0,email,8746,A. W. ,Retired Military Discount
2020-08-26 8:18:58 PM,Sales,Demos,Prospective Demo,0,email,8747,T. H.,Ticket Test 1 | 8/26/2020
2020-08-26 8:22:38 PM,Fitness / Content,Health / Safety,Age Requirements,0,email,8748,T. H.,Ticket Test 2 | 8/26/2020
2020-08-26 8:24:03 PM,Shipping / Delivery,Shipping Details,Delivery Overview,0,email,8749,N. D.,Delivery time
2020-08-26 8:31:29 PM,Shipping / Delivery,Shipping Details,Delivery Overview,0,email,8750,N. D.,Re: Your receipt from Tempo
2020-08-26 8:31:59 PM,Fitness / Content,Health / Safety,Age Requirements,1,chat,8751,A. W. ,Conversation with User
2020-08-26 8:39:16 PM,General Inquiry,Support,Hours of Availability,0,chat,8753,N. D.,Conversation with User
2020-08-26 8:43:57 PM,Technical Issues,Screen,Streaking,0,chat,8754,T. H.,Conversation with User
2020-08-26 8:55:58 PM,Fitness / Content,Class Requests,Other Classes,0,chat,8755,T. H.,Conversation with User
2020-08-26 11:01:59 PM,Shipping / Delivery,Shipping Details,Delivery Window,0,email,8757,A. W. ,Order Number e9773527 Delivery Date
2020-08-27 1:35:25 AM,Sales,Purchasing Info,Pricing,2,email,8758,N. D.,Spares
2020-08-27 2:10:10 AM,Partnership / Marketing,Opportunities,Partnerships,0,email,8759,N. D.,Need a content writer & editor?
2020-08-27 5:47:22 AM,Shipping / Delivery,Shipping Details,Delivery Window,0,email,8760,A. S. ,Inquiring
2020-08-27 6:37:34 AM,Shipping / Delivery,Shipping Details,Delivery Window,1,email,8761,A. S. ,Delivery Time
2020-08-27 6:50:19 AM,Account / Billing,Promotions / Discounts,Retroactive,0,email,8762,N. D.,Purchase Receipt#1923-8917
2020-08-27 7:08:43 AM,Sales,Hot Lead,Purchase,2,email,8763,A. W. ,
2020-08-27 7:11:26 AM,Technical Issues,Camera,Camera Failed to Start,0,chat,8764,J. M.,Conversation with User
2020-08-27 7:13:30 AM,Cancellations / Returns,Return Request,Swap Requested: Color,1,email,8765,B. C.,"Re: Ordered wrong color, Requesting Replacement"
2020-08-27 7:34:07 AM,Shipping / Delivery,Shipping Details,Delivery Window,0,email,8766,A. S. ,Fwd: Your ‪Tempo‬ receipt [#1128-4672]
2020-08-27 7:52:53 AM,Shipping / Delivery,Shipping Details,Delivery Window,0,email,8767,A. S. ,Delivery Confirmation
2020-08-27 8:00:16 AM,General Inquiry,Location,Climate,0,email,8768,A. S. ,Question before buying
2020-08-27 8:06:15 AM,Shipping / Delivery,Shipping Details,Delivery Window,1,email,8769,A. S. ,RE: ?Your Tempo is a click away!
2020-08-27 8:33:02 AM,Shipping / Delivery,Shipping Details,Delivery Window,3,chat,8770,A. W. ,Conversation with User
2020-08-27 8:52:30 AM,Partnership / Marketing,Opportunities,Partnerships,0,email,8771,N. D.,request for a possible partnership
2020-08-27 8:55:25 AM,Shipping / Delivery,Shipping Details,Tracking Information,0,chat,8772,J. M.,Conversation with User
2020-08-27 8:57:16 AM,Shipping / Delivery,Shipping Details,Delivery Window,0,email,8773,A. S. ,Re: Your receipt from Tempo
2020-08-27 9:00:10 AM,Shipping / Delivery,Shipping Details,Delivery Overview,0,chat,8774,A. W. ,Conversation with User
2020-08-27 9:01:19 AM,Shipping / Delivery,Shipping Details,Delivery Overview,0,chat,8775,N. D.,Thanks for contacting Tempo!
2020-08-27 9:05:57 AM,Fitness / Content,Class Requests,Other Classes,0,chat,8776,N. D.,Thank you for contacting Tempo!
2020-08-27 9:07:01 AM,General Inquiry,Location,International,0,chat,8777,A. W. ,Conversation with User
2020-08-27 9:07:48 AM,Account / Billing,Membership,Membership Inquiry,0,chat,8778,N. D.,Thank you for contacting Tempo!
2020-08-27 9:08:30 AM,Shipping / Delivery,Shipping Details,Delivery Overview,0,chat,8779,A. W. ,Conversation with User
2020-08-27 9:09:40 AM,Account / Billing,Membership,Membership Inquiry,0,chat,8780,N. D.,Thank you for contacting Tempo!
2020-08-27 9:10:59 AM,Technical Issues,Heart Rate Monitor,Apple Watch,0,chat,8781,A. W. ,Thank you for reaching out!
2020-08-27 9:11:09 AM,Sales,Delivery Info,Delivery Expectations,0,chat,8782,B. C.,Conversation with User
2020-08-27 9:11:58 AM,Fitness / Content,Class Requests,Other Classes,0,chat,8783,M. V.,Tempo Support
2020-08-27 9:14:10 AM,Technical Issues,Network,Failed to Log In,3,email,8784,J. M.,Tempo Login Issue
2020-08-27 9:14:57 AM,Account / Billing,Membership,Membership Inquiry,0,chat,8785,N. D.,Thank you for contacting Tempo!
2020-08-27 9:16:16 AM,Shipping / Delivery,Shipping Details,Delivery Overview,0,chat,8786,N. D.,Thank you for contacting Tempo!
2020-08-27 9:17:56 AM,Shipping / Delivery,Shipping Details,Delivery Overview,0,chat,8787,N. D.,Thank you for contacting Tempo!
2020-08-27 9:18:07 AM,Shipping / Delivery,Shipping Details,Delivery Window,0,chat,8788,B. C.,Conversation with User
2020-08-27 9:18:28 AM,Shipping / Delivery,Delivery Issues,WGS Fail,1,chat,8789,M. V.,Tempo Support
2020-08-27 9:19:22 AM,Shipping / Delivery,Shipping Details,Delivery Overview,0,chat,8790,N. D.,Thank you for contacting Tempo!
2020-08-27 9:20:32 AM,Account / Billing,Membership,Membership Inquiry,0,chat,8791,M. V.,Tempo Chat Support
2020-08-27 9:21:35 AM,Sales,Hot Lead,Purchase,0,chat,8792,B. C.,Conversation with User
2020-08-27 9:22:17 AM,Cancellations / Returns,Cancel Request,Canceled: Taking Too Long,0,chat,8793,L. R.,Thank you for reaching out!
2020-08-27 9:23:36 AM,Technical Issues,Heart Rate Monitor,Failed to connect,1,chat,8794,J. M.,HRM not connecting
2020-08-27 9:26:23 AM,General Inquiry,Accessories,Weights,0,chat,8795,M. V.,Tempo Chat Support
2020-08-27 9:29:38 AM,Account / Billing,Account,Profile Creation,0,chat,8796,J. M.,Connecting a secondary profile
2020-08-27 9:35:38 AM,Shipping / Delivery,Shipping Details,Delivery Overview,0,chat,8797,A. W. ,Conversation with User
2020-08-27 9:37:03 AM,Shipping / Delivery,Shipping Details,Delivery Overview,0,chat,8798,B. C.,Thank you for contacting Tempo!
2020-08-27 9:46:08 AM,Shipping / Delivery,Shipping Details,Delivery Window,0,email,8799,A. W. ,Order Update
2020-08-27 9:49:48 AM,Technical Issues,Camera,Failed to Connect 3D Sensor,3,chat,8800,M. V.,Tempo Support
2020-08-27 9:49:52 AM,Shipping / Delivery,Shipping Details,Delivery Window,1,chat,8801,N. D.,Thank you for contacting Tempo!
2020-08-27 9:54:53 AM,Shipping / Delivery,Shipping Details,Delivery Window,0,email,8802,A. S. ,Order Delivery Time
2020-08-27 9:56:30 AM,Shipping / Delivery,Shipping Details,Expedited Delivery,0,chat,8803,A. W. ,Thank you for reaching out!
2020-08-27 10:07:20 AM,Shipping / Delivery,Shipping Details,Delivery Window,0,email,8805,N. D.,Order - df81d511
2020-08-27 10:10:08 AM,Shipping / Delivery,Shipping Details,Delivery Overview,0,chat,8807,A. W. ,Conversation with User
2020-08-27 10:13:19 AM,Shipping / Delivery,Shipping Details,Delivery Window,0,chat,8808,M. V.,Tempo Support
2020-08-27 10:15:18 AM,Sales,Promotions / Discounts,Active Promotions,0,chat,8809,M. V.,Tempo Support
2020-08-27 10:16:42 AM,Sales,Promotions / Discounts,Active Promotions,0,chat,8810,M. V.,Tempo Support
2020-08-27 10:22:31 AM,Cancellations / Returns,Cancel Request,Cancellation Policy,0,chat,8811,D. W.,Membership Question
2020-08-27 10:24:24 AM,Technical Issues,Heart Rate Monitor,Charging,0,chat,8812,M. V.,Tempo Support
2020-08-27 10:29:14 AM,Fitness / Content,Live Classes,Schedules,0,chat,8813,B. C.,Conversation with User
2020-08-27 10:30:04 AM,Shipping / Delivery,Shipping Details,Delivery Window,0,chat,8814,M. V.,Tempo Support
2020-08-27 10:30:12 AM,Account / Billing,Membership,Membership Inquiry,0,chat,8815,A. S. ,Questions about membership
2020-08-27 10:31:46 AM,Shipping / Delivery,Order Details,Color Confirmation,0,chat,8816,A. S. ,Color of Unit
2020-08-27 10:32:07 AM,General Inquiry,Accessories,Benches,0,chat,8817,M. V.,Tempo Support
2020-08-27 10:36:22 AM,Technical Issues,Network,WiFi Antenna,0,chat,8818,J. M.,Buffering Issues
2020-08-27 10:39:40 AM,Account / Billing,Affirm,Affirm Inquiry,0,chat,8819,A. W. ,Conversation with User
2020-08-27 10:41:40 AM,Technical Issues,Network,Buffering,1,email,8820,M. V.,is tempo down today?
2020-08-27 10:58:59 AM,Shipping / Delivery,Shipping Details,Delivery Window,0,email,8821,A. S. ,status update
2020-08-27 11:08:15 AM,Technical Issues,Network,WiFi Antenna,2,chat,8822,A. S. ,Buffering Issues
2020-08-27 11:13:04 AM,Technical Issues,Screen,Streaking,1,phone,8823,N. D.,Hello from Tempo
2020-08-27 11:24:57 AM,Shipping / Delivery,Shipping Details,Delivery Window,1,email,8824,A. W. ,Checkin on the status of the delivery
2020-08-27 11:31:26 AM,General Inquiry,Support,Hours of Availability,0,email,8825,N. D.,
2020-08-27 11:33:56 AM,Cancellations / Returns,Cancel Request,Cancellation Prevented: Other,1,email,8826,L. R.,Cancel
2020-08-27 11:33:58 AM,Shipping / Delivery,Shipping Details,Delivery Window,0,chat,8827,M. V.,Tempo Support
2020-08-27 11:36:02 AM,Account / Billing,Membership,Membership Inquiry,0,chat,8828,M. V.,Tempo Support
2020-08-27 11:46:02 AM,Shipping / Delivery,Shipping Details,Delivery Window,6,email,8830,A. S. ,Order Receipt #1234-5071
2020-08-27 11:59:37 AM,Shipping / Delivery,Shipping Details,Delivery Window,0,chat,8831,A. W. ,Thank you for reaching out!
2020-08-27 12:06:02 PM,Shipping / Delivery,Shipping Details,Delivery Window,0,email,8832,N. D.,Tempo
2020-08-27 12:06:23 PM,Shipping / Delivery,Shipping Details,Delivery Window,0,email,8833,A. S. ,Status of Order - 231c12db
2020-08-27 12:35:06 PM,Cancellations / Returns,Cancel Request,Canceled: Refused to State,0,email,8834,L. R.,Fw: Your ‪Tempo‬ receipt [#1200-3712]
2020-08-27 12:45:10 PM,Account / Billing,Membership,Membership Fees,0,chat,8836,A. W. ,Thank you for reaching out!
2020-08-27 12:56:21 PM,General Inquiry,Mobile App,Connected Device Availability,0,chat,8837,M. V.,Tempo Support
2020-08-27 12:57:08 PM,Shipping / Delivery,Delivery Issues,Missed Delivery,0,phone,8838,J. M.,XPO Delivery Delay
2020-08-27 12:57:37 PM,General Inquiry,Install / Setup,White Glove Service,0,chat,8839,M. V.,Tempo Support
2020-08-27 12:58:32 PM,Fitness / Content,Class Requests,Other Classes,0,chat,8840,M. V.,Tempo Support
2020-08-27 1:00:54 PM,Account / Billing,Account,Profile Creation,0,chat,8841,M. V.,Tempo Support
2020-08-27 1:07:49 PM,General Inquiry,Support,Hours of Availability,0,email,8842,N. D.,Dustin Test Ticket
2020-08-27 1:08:11 PM,General Inquiry,Support,Hours of Availability,0,email,8843,N. D.,Dustin Test Ticket 2
2020-08-27 1:13:44 PM,Cancellations / Returns,Cancel Request,Canceled: Refused to State,0,chat,8844,L. R.,Tempo: Cancellation Request
2020-08-27 1:15:16 PM,Partnership / Marketing,Opportunities,Partnerships,0,email,8845,L. R.,TV Insights: Creative elements that drive performance
2020-08-27 1:27:31 PM,Sales,Promotions / Discounts,Active Promotions,0,chat,8846,M. V.,Tempo Support
2020-08-27 1:29:45 PM,Shipping / Delivery,Shipping Details,Delivery Window,0,chat,8847,A. W. ,Thank you for reaching out!
2020-08-27 1:39:06 PM,Shipping / Delivery,Shipping Details,Delivery Overview,0,chat,8848,A. S. ,Delivery ETA
2020-08-27 1:39:51 PM,Fitness / Content,Health / Safety,Reported Injury,0,chat,8849,A. W. ,Thank you for reaching out!
2020-08-27 1:39:53 PM,Shipping / Delivery,Shipping Details,Delivery Window,0,email,8850,A. S. ,Order question
2020-08-27 1:57:16 PM,Account / Billing,Account,Profile Creation,1,email,8852,,New user email not found order #667DAD89
2020-08-27 1:59:29 PM,General Inquiry,Accessories,Store Availability,0,chat,8853,A. W. ,Thank you for reaching out!
2020-08-27 2:11:47 PM,Cancellations / Returns,Cancel Request,Canceled: Changes to Living Situation,0,email,8854,L. R.,Refund Request
2020-08-27 2:15:55 PM,General Inquiry,Accessories,Store Availability,0,chat,8855,A. W. ,Thank you for reaching out!
2020-08-27 2:17:39 PM,Technical Issues,Heart Rate Monitor,Failed to connect,0,email,8856,M. V.,Heart monitor
2020-08-27 2:20:28 PM,Shipping / Delivery,Shipping Details,Delivery Window,0,chat,8857,A. S. ,Delivery Status
2020-08-27 2:24:01 PM,Shipping / Delivery,Shipping Details,Delivery Window,1,chat,8858,A. S. ,Conversation with User
2020-08-27 2:26:33 PM,Account / Billing,Account,Account Creation,0,chat,8859,M. V.,Tempo Support
2020-08-27 2:29:34 PM,Sales,Promotions / Discounts,Active Promotions,0,chat,8860,A. W. ,Thank you for reaching out!
2020-08-27 2:29:40 PM,Sales,Hot Lead,Purchase,0,chat,8861,M. V.,Tempo Support
2020-08-27 2:44:35 PM,Technical Issues,Network,Buffering,1,email,8862,,My tempo is not working
2020-08-27 2:59:41 PM,Shipping / Delivery,Change Request,Address Change,0,chat,8863,L. R.,Thank you for reaching out!
2020-08-27 3:15:03 PM,Shipping / Delivery,Shipping Details,Delivery Overview,0,chat,8864,A. S. ,Delivery ETA
2020-08-27 3:29:15 PM,General Inquiry,Accessories,Weights,0,chat,8865,M. V.,Tempo Support
2020-08-27 3:30:28 PM,Account / Billing,Membership,Membership Inquiry,0,chat,8866,M. V.,Tempo Support
2020-08-27 3:30:39 PM,Technical Issues,Network,Buffering,5,email,8867,J. M.,Buffering issue on new tempo
2020-08-27 3:32:14 PM,Sales,Promotions / Discounts,Active Promotions,0,chat,8868,M. V.,Tempo Support
2020-08-27 3:33:47 PM,Technical Issues,Network,Network Selection Loop,0,chat,8869,M. V.,Tempo Support
2020-08-27 3:46:25 PM,Technical Issues,Screen,Failed to power on,0,email,8870,A. S. ,Won't turn on
2020-08-27 4:38:20 PM,General Inquiry,Product Specs,General Specs,0,chat,8871,M. V.,Tempo Support
2020-08-27 4:45:21 PM,Sales,Delivery Info,International Delivery,0,chat,8872,M. V.,Tempo Support
2020-08-27 4:50:24 PM,Account / Billing,Account,Account Creation,1,email,8873,M. V.,Having problems logging in
2020-08-27 5:01:59 PM,Sales,Purchasing Info,Available Methods,0,chat,8875,A. W. ,Thanks for reaching out!
2020-08-27 5:11:49 PM,Partnership / Marketing,Opportunities,Partnerships,0,email,8876,N. D.,Why is ShopandShout the bomb? Here it from our Influencers!
2020-08-27 5:14:34 PM,Technical Issues,Physical Damage,Weight Plate Collars,2,phone,8877,J. M.,Collars are not opening successfully
2020-08-27 5:30:07 PM,Cancellations / Returns,Return Request,Return Requested: 30 Day - No Reason,1,email,8878,L. R.,Return Request
2020-08-27 6:23:54 PM,Shipping / Delivery,Shipping Details,Tracking Information,0,email,8879,A. W. ,Re: Get ready to sweat
2020-08-27 6:32:44 PM,Technical Issues,Heart Rate Monitor,Failed to connect,0,email,8880,A. S. ,Heart rate monitor.
2020-08-27 6:36:34 PM,Cancellations / Returns,Return Request,Return Requested: 30 Day - No Reason,0,email,8881,L. R.,Re: Follow up
2020-08-27 6:53:58 PM,Account / Billing,Order Details,Billing Issues,1,email,8882,L. R.,Help with payment
2020-08-27 7:08:49 PM,Shipping / Delivery,Change Request,Address Change,1,email,8883,L. R.,Update Shipping Address
2020-08-27 7:47:05 PM,Shipping / Delivery,Shipping Details,Tracking Information,1,email,8884,N. D.,Re: Your ‪Tempo‬ receipt [#1966-4055]
2020-08-27 8:12:10 PM,Shipping / Delivery,Shipping Details,Delivery Overview,0,email,8885,N. D.,The enquiry about Tempo Studio
2020-08-27 8:14:50 PM,Technical Issues,Network,WiFi Antenna,0,email,8886,M. V.,Tempo not working
2020-08-27 8:22:17 PM,Technical Issues,Network,WiFi Antenna,0,email,8887,M. V.,Serial #R003U340
2020-08-27 8:55:44 PM,Shipping / Delivery,Shipping Details,Delivery Overview,0,email,8888,A. W. ,I just ordered
2020-08-27 9:58:22 PM,General Inquiry,Mobile App,Connected Device Availability,0,email,8889,A. S. ,Apple Watch
2020-08-27 10:06:25 PM,Shipping / Delivery,Shipping Details,Delivery Window,0,email,8890,D. W.,Order Status
2020-08-28 1:55:22 AM,Shipping / Delivery,Shipping Details,Delivery Window,0,email,8892,D. W.,Info
2020-08-28 4:11:13 AM,Shipping / Delivery,Shipping Details,Delivery Window,0,email,8893,N. D.,Delivery Question
2020-08-28 5:01:47 AM,Cancellations / Returns,Cancel Request,Canceled: Refused to State,1,email,8894,L. R.,Return of Undelivered Tempo Fit
2020-08-28 7:47:33 AM,Sales,Promotions / Discounts,Active Promotions,0,email,8895,D. W.,Re: Why train with Tempo
2020-08-28 7:52:27 AM,Technical Issues,Heart Rate Monitor,Failed to connect,0,email,8896,A. S. ,Wristband not working
2020-08-28 7:54:41 AM,Technical Issues,Network,WiFi Antenna,0,chat,8897,M. V.,Conversation with User
2020-08-28 8:00:23 AM,Account / Billing,Transaction Failure,Failed Order,0,email,8898,L. R.,Tempo sale
2020-08-28 8:46:50 AM,General Inquiry,Install / Setup,White Glove Service,0,chat,8899,N. D.,Thank you for contacting Tempo!
2020-08-28 8:48:53 AM,General Inquiry,Product Specs,General Specs,0,chat,8900,N. D.,Thank you for contacting Tempo!
2020-08-28 8:49:50 AM,Shipping / Delivery,Shipping Details,Delivery Overview,0,chat,8901,N. D.,Thank you for contacting Tempo!
2020-08-28 8:51:02 AM,Shipping / Delivery,Shipping Details,Delivery Overview,0,chat,8902,N. D.,Thank you for contacting Tempo!
2020-08-28 8:53:06 AM,Shipping / Delivery,Shipping Details,Delivery Overview,0,chat,8903,N. D.,Thank you for contacting Tempo!
2020-08-28 8:55:28 AM,General Inquiry,Location,International,0,chat,8904,N. D.,Thank you for contacting Tempo!
2020-08-28 8:59:18 AM,Shipping / Delivery,Shipping Details,Delivery Window,1,email,8905,D. W.,Shipping Inquiry.
2020-08-28 9:01:49 AM,Shipping / Delivery,Delivery Issues,WGS Fail,0,chat,8906,M. V.,Conversation with User
2020-08-28 9:02:05 AM,Cancellations / Returns,Return Request,Return Requested: 30 Day - Competitor,2,email,8907,L. R.,Return
2020-08-28 9:02:33 AM,Shipping / Delivery,Shipping Details,Delivery Overview,0,chat,8908,D. W.,Conversation with User
